"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Kruskal_test"	"Dunn_AD.AP"	"Dunn_AD.CON"	"Dunn_AP.CON"	"AD_mean"	"AD_SD"	"AP_mean"	"AP_SD"	"CON_mean"	"CON_SD"	"total"	"AD1"	"AD4"	"AD5"	"AD6"	"AD7"	"AD8"	"AP2"	"AP3"	"AP4"	"AP5"	"AP6"	"AP7"	"CON1"	"CON3"	"CON4"	"CON5"	"CON6"	"CON8"
"d__Bacteria"	" p__Actinobacteriota"	" c__Actinobacteria"	" o__Bifidobacteriales"	" f__Bifidobacteriaceae"	" g__Bifidobacterium"	NA	"0.0345016487490504"	"1"	"0.0738726027713595"	"0.0738726027713595"	"0"	"0"	"0"	"0"	"0.00362861093441543"	"0.00831911820424677"	"0.00120953697813848"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.000667408231368187"	"0"	"0"	"0.0205994982173511"	"0.000504759157773291"	"0"
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Bacillales"	" f__Bacillaceae"	" g__Bacillus"	NA	"0.325546689351153"	"1"	"0.402271053157829"	"1"	"0"	"0"	"7.16614712100039e-05"	"0.000175534038681657"	"0.00015588845948801"	"0.000244516481602228"	"7.58499768993379e-05"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.000429968827260024"	"0"	"0"	"0"	"0.000407138494944697"	"0.000528192261983362"	"0"	"0"
"d__Bacteria"	" p__Actinobacteriota"	" c__Coriobacteriia"	" o__Coriobacteriales"	" f__Atopobiaceae"	" g__Coriobacteriaceae_UCG-002"	NA	"0.120314388400899"	"1"	"0.224117799936391"	"0.224117799936391"	"0"	"0"	"0"	"0"	"0.000234138086411381"	"0.000363038669217302"	"7.80460288037936e-05"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.000678564158241162"	"0.000726264360227123"	"0"	"0"
"d__Bacteria"	" p__Proteobacteria"	" c__Gammaproteobacteria"	" o__Burkholderiales"	" f__Sutterellaceae"	" g__Parasutterella"	NA	"0.00886506460050425"	"0.209769545695113"	"0.00671257404690273"	"0.640123584346515"	"0.00344216729702038"	"0.00202933445558621"	"0.00131916338241108"	"0.00117893367502892"	"0.000457635257619059"	"0.000266724184820087"	"0.00173965531235017"	"0.00383682220842972"	"0.0072047423620611"	"0.00137597267033593"	"0.0031285768790538"	"0.0029603315571344"	"0.00214655810510733"	"0.00313991459432303"	"0.000818330605564648"	"0.000292070291583508"	"0.00200791354160515"	"0"	"0.00165675126139016"	"0"	"0.000582750582750583"	"0.000610707742417046"	"0.000726264360227123"	"0.000288433804441881"	"0.000537655055877722"
"d__Bacteria"	" p__Proteobacteria"	" c__Gammaproteobacteria"	" o__Enterobacterales"	" f__Enterobacteriaceae"	" g__Escherichia-Shigella"	NA	"0.120314388400899"	"0.224117799936391"	"0.224117799936391"	"1"	"0.000208038848017828"	"0.000324509689639155"	"0"	"0"	"0"	"0"	"6.93462826726095e-05"	"0.000564238560063195"	"0.000683994528043776"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria"	" p__Proteobacteria"	" c__Gammaproteobacteria"	" o__Enterobacterales"	" f__Morganellaceae"	" g__Proteus"	NA	"0.120314388400899"	"0.224117799936391"	"0.224117799936391"	"1"	"0.000161365104341934"	"0.000297871062697293"	"0"	"0"	"0"	"0"	"5.37883681139779e-05"	"0"	"0.000227998176014592"	"0"	"0"	"0"	"0.00074019245003701"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria"	" p__Campilobacterota"	" c__Campylobacteria"	" o__Campylobacterales"	" f__Helicobacteraceae"	" g__Helicobacter"	NA	"0.017127624139044"	"1"	"0.0159970560476621"	"0.164342137984992"	"0.0120393754738167"	"0.00872273351837721"	"0.0194967585076696"	"0.0140204689998845"	"0.0438903770293735"	"0.0161808773384453"	"0.0251421703369533"	"0"	"0.0104879160966712"	"0.0266179540709812"	"0.00816482258679893"	"0.0143082691928163"	"0.0126572908956329"	"0.0205350414468726"	"0.00561140986672902"	"0.0342695808791316"	"0.0325400106301305"	"0.0240245082231538"	"0"	"0.0625880608083055"	"0.0205307512999821"	"0.0540137069959965"	"0.0512346494123861"	"0.0281222959330834"	"0.0468527977264872"
"d__Bacteria"	" p__Deferribacterota"	" c__Deferribacteres"	" o__Deferribacterales"	" f__Deferribacteraceae"	" g__Mucispirillum"	NA	"0.016437571651773"	"1"	"0.0213988476419858"	"0.0831278972420727"	"0.00137358966161571"	"0.00277918944775684"	"0.000887043782465195"	"0.00101408585421803"	"0.00777414823418126"	"0.00589511707905075"	"0.00334492722608739"	"0.00699655814478361"	"0"	"0.000948946669197191"	"0"	"0.00029603315571344"	"0"	"0.000627982918864607"	"0"	"0.000924889256681108"	"0.00053150652571901"	"0.000376222723852521"	"0.00286166126967392"	"0.0136447905079718"	"0.000717231486462256"	"0.0149284114813056"	"0.00785685989700251"	"0.00158638592443034"	"0.00791121010791505"
"d__Bacteria"	" p__Desulfobacterota"	" c__Desulfovibrionia"	" o__Desulfovibrionales"	" f__Desulfovibrionaceae"	" g__uncultured"	NA	"0.365594483067111"	"1"	"0.528068926969603"	"0.887266360587478"	"0.000142342000379579"	"0.000348665269897017"	"0.000169751758862284"	"0.000283752309664718"	"0.000341758232985494"	"0.000306578392137644"	"0.000217950664075786"	"0"	"0"	"0.000854052002277472"	"0"	"0"	"0"	"0"	"0"	"0.000340748673514092"	"0"	"0"	"0.000677761879659613"	"0.000593251761216166"	"0"	"0.000746420574065278"	"0"	"0.000288433804441881"	"0.000422443258189639"
"d__Bacteria"	" p__Desulfobacterota"	" c__Desulfovibrionia"	" o__Desulfovibrionales"	" f__Desulfovibrionaceae"	" g__Desulfovibrio"	NA	"0.586038610844014"	"1"	"1"	"1"	"0.00418811260125862"	"0.00645267747333241"	"0.0024477116610519"	"0.00307025171920394"	"0.0039406967988932"	"0.00399399967373985"	"0.00352550702040124"	"0"	"0"	"0.00488707534636553"	"0.0167874856924838"	"0.000789421748569173"	"0.00266469282013323"	"0.000125596583772921"	"0.00298106149169979"	"0.0018984568952928"	"0"	"0.00139739868859508"	"0.00828375630695082"	"0.00385613644790508"	"0.000851712390173929"	"0.011671303521748"	"0.000924336458470883"	"0.00288433804441881"	"0.0034563539306425"
